"Year","Question","Area","Area_abbr","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted","Data_Label","Percentile_Range"
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Colorado","CO","Total","Total","9.0","8.3","9.7","9.0 (8.3-9.7)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Connecticut","CT","Total","Total","8.7","7.8","9.6","8.7 (7.8-9.6)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Delaware","DE","Total","Total","9.3","8","10.7","9.3 (8-10.7)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","District of Columbia","DC","Total","Total","7.1","5.9","8.4","7.1 (5.9-8.4)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Florida","FL","Total","Total","9.8","8.8","10.8","9.8 (8.8-10.8)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Georgia","GA","Total","Total","10.9","9.9","11.9","10.9 (9.9-11.9)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Guam","GU","Total","Total","8.5","5.7","11.2","8.5 (5.7-11.2)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Hawaii","HI","Total","Total","7.5","6.7","8.4","7.5 (6.7-8.4)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Idaho","ID","Total","Total","10.1","9.2","11.1","10.1 (9.2-11.1)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Illinois","IL","Total","Total","8.0","6.9","9","8.0 (6.9-9)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Indiana","IN","Total","Total","10.5","9.8","11.3","10.5 (9.8-11.3)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Iowa","IA","Total","Total","8.1","7.4","8.9","8.1 (7.4-8.9)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Kansas","KS","Total","Total","9.1","8.3","9.9","9.1 (8.3-9.9)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Kentucky","KY","Total","Total","11.1","9.8","12.5","11.1 (9.8-12.5)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Louisiana","LA","Total","Total","13.0","11.8","14.2","13.0 (11.8-14.2)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Maine","ME","Total","Total","9.9","9","10.8","9.9 (9-10.8)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Maryland","MD","Total","Total","8.3","7.6","9","8.3 (7.6-9)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Massachusetts","MA","Total","Total","8.8","8","9.6","8.8 (8-9.6)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Michigan","MI","Total","Total","10.3","9.5","11.1","10.3 (9.5-11.1)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Minnesota","MN","Total","Total","8.7","8.1","9.3","8.7 (8.1-9.3)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Mississippi","MS","Total","Total","10.4","9.2","11.6","10.4 (9.2-11.6)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Missouri","MO","Total","Total","10.2","9.3","11.2","10.2 (9.3-11.2)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Montana","MT","Total","Total","9.9","9","10.8","9.9 (9-10.8)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Nebraska","NE","Total","Total","7.2","6.4","8","7.2 (6.4-8)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Nevada","NV","Total","Total","10.1","8.6","11.6","10.1 (8.6-11.6)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Hampshire","NH","Total","Total","9.1","8.1","10.2","9.1 (8.1-10.2)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Jersey","NJ","Total","Total","8.3","7.4","9.3","8.3 (7.4-9.3)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New Mexico","NM","Total","Total","11.2","10","12.5","11.2 (10-12.5)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","New York","NY","Total","Total","9.4","8.7","10","9.4 (8.7-10)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","North Carolina","NC","Total","Total","10.5","9","11.9","10.5 (9-11.9)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","North Dakota","ND","Total","Total","6.7","5.7","7.7","6.7 (5.7-7.7)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Ohio","OH","Total","Total","11.2","10.5","12","11.2 (10.5-12)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Oklahoma","OK","Total","Total","10.6","9.6","11.5","10.6 (9.6-11.5)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Oregon","OR","Total","Total","11.0","10","12.1","11.0 (10-12.1)",,
"2022","During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?","Pennsylvania","PA","Total","Total","10.1","8.6","11.5","10.1 (8.6-11.5)",,
